            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464528.500000000, A.D. 2035-Jul-20 00:00:00.0000,  9.936143970831032E-01, -9.694946078554054E-01, -4.466847381978725E-02,  1.030101917573560E-02,  1.121465552922761E-02, -1.733154713654116E-05,
2464529.500000000, A.D. 2035-Jul-21 00:00:00.0000,  1.003860342347907E+00, -9.582266083109769E-01, -4.468333768013804E-02,  1.019066472318863E-02,  1.132115336039014E-02, -1.239508967848614E-05,
2464530.500000000, A.D. 2035-Jul-22 00:00:00.0000,  1.013995315502623E+00, -9.468526842823689E-01, -4.469326195985347E-02,  1.007907717543040E-02,  1.142650164412847E-02, -7.452510630043008E-06,
2464531.500000000, A.D. 2035-Jul-23 00:00:00.0000,  1.024018090091181E+00, -9.353739938358180E-01, -4.469824087769973E-02,  9.966269857178694E-03,  1.153068340148398E-02, -2.504488167630054E-06,
2464532.500000000, A.D. 2035-Jul-24 00:00:00.0000,  1.033927453134919E+00, -9.237917119248139E-01, -4.469826933573308E-02,  9.852256386780207E-03,  1.163368182082974E-02,  2.448293797320616E-06,
2464533.500000000, A.D. 2035-Jul-25 00:00:00.0000,  1.043722205422913E+00, -9.121070302097680E-01, -4.469334292323021E-02,  9.737050675454806E-03,  1.173548027629967E-02,  7.405145631952060E-06,
2464534.500000000, A.D. 2035-Jul-26 00:00:00.0000,  1.053401161798919E+00, -9.003211568720521E-01, -4.468345792015228E-02,  9.620666926055824E-03,  1.183606234094512E-02,  1.236537197859283E-05,
2464535.500000000, A.D. 2035-Jul-27 00:00:00.0000,  1.062963151444239E+00, -8.884353164212583E-01, -4.466861129985691E-02,  9.503119627900125E-03,  1.193541179190599E-02,  1.732827312503677E-05,
2464536.500000000, A.D. 2035-Jul-28 00:00:00.0000,  1.072407018157270E+00, -8.764507494951177E-01, -4.464880073148164E-02,  9.384423544366482E-03,  1.203351261213761E-02,  2.229314935482883E-05,
2464537.500000000, A.D. 2035-Jul-29 00:00:00.0000,  1.081731620630452E+00, -8.643687126532922E-01, -4.462402458245194E-02,  9.264593701205011E-03,  1.213034899088259E-02,  2.725930452586591E-05,
2464538.500000000, A.D. 2035-Jul-30 00:00:00.0000,  1.090935832724131E+00, -8.521904781665849E-01, -4.459428192102532E-02,  9.143645387655457E-03,  1.222590532505076E-02,  3.222604350225740E-05,
2464539.500000000, A.D. 2035-Jul-31 00:00:00.0000,  1.100018543736262E+00, -8.399173338012333E-01, -4.455957251845615E-02,  9.021594166017239E-03,  1.232016622498357E-02,  3.719266605220057E-05,
2464540.500000000, A.D. 2035-Aug-01 00:00:00.0000,  1.108978658667733E+00, -8.275505825966069E-01, -4.451989685066614E-02,  8.898455873742873E-03,  1.241311652293271E-02,  4.215846460513906E-05,
2464541.500000000, A.D. 2035-Aug-02 00:00:00.0000,  1.117815098484096E+00, -8.150915426357973E-01, -4.447525609981358E-02,  8.774246614583370E-03,  1.250474128262819E-02,  4.712272709428622E-05,
2464542.500000000, A.D. 2035-Aug-03 00:00:00.0000,  1.126526800374064E+00, -8.025415468104378E-01, -4.442565215603425E-02,  8.648982747408390E-03,  1.259502581149982E-02,  5.208474083032505E-05,
