            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464525.500000000, A.D. 2035-Jul-17 00:00:00.0000,  4.102725652731734E-01, -9.299053963137885E-01,  7.081092944139355E-05,  1.545404572182264E-02,  6.880509795442493E-03, -5.688249214096314E-07,
2464526.500000000, A.D. 2035-Jul-18 00:00:00.0000,  4.256679415752520E-01, -9.228948968758234E-01,  7.029665099772700E-05,  1.533603081236050E-02,  7.140160375690922E-03, -4.610091843500525E-07,
2464527.500000000, A.D. 2035-Jul-19 00:00:00.0000,  4.409432807432809E-01, -9.156257353353470E-01,  6.988553207939457E-05,  1.521397719755284E-02,  7.397831710216478E-03, -3.633252515623298E-07,
2464528.500000000, A.D. 2035-Jul-20 00:00:00.0000,  4.560945600343079E-01, -9.080998974704112E-01,  6.956501346444351E-05,  1.508791549148956E-02,  7.653511049481914E-03, -2.805935457817732E-07,
2464529.500000000, A.D. 2035-Jul-21 00:00:00.0000,  4.711177831806405E-01, -9.003193810154375E-01,  6.931784010179649E-05,  1.495786782709395E-02,  7.907187055061741E-03, -2.173621515554031E-07,
2464530.500000000, A.D. 2035-Jul-22 00:00:00.0000,  4.860089713290974E-01, -8.922861948835957E-01,  6.912241073352708E-05,  1.482384673668429E-02,  8.158848430500354E-03, -1.777452137240577E-07,
2464531.500000000, A.D. 2035-Jul-23 00:00:00.0000,  5.007641530157959E-01, -8.840023600324880E-01,  6.895330618031793E-05,  1.468585437257333E-02,  8.408482038049586E-03, -1.652311942190632E-07,
2464532.500000000, A.D. 2035-Jul-24 00:00:00.0000,  5.153793535776174E-01, -8.754699123814049E-01,  6.878201532162530E-05,  1.454388216101119E-02,  8.656070711924936E-03, -1.824820320995823E-07,
2464533.500000000, A.D. 2035-Jul-25 00:00:00.0000,  5.298505844138842E-01, -8.666909080025372E-01,  6.857786181691505E-05,  1.439791082969432E-02,  8.901590908131276E-03, -2.311327333984988E-07,
2464534.500000000, A.D. 2035-Jul-26 00:00:00.0000,  5.441738324120665E-01, -8.576674307509775E-01,  6.830913340728317E-05,  1.424791069256208E-02,  9.145010152326221E-03, -3.115840045420100E-07,
2464535.500000000, A.D. 2035-Jul-27 00:00:00.0000,  5.583450497774985E-01, -8.484016026445372E-01,  6.794443035870406E-05,  1.409384219449376E-02,  9.386284035928344E-03, -4.227675059125208E-07,
2464536.500000000, A.D. 2035-Jul-28 00:00:00.0000,  5.723601446564529E-01, -8.388955976244261E-01,  6.745427028181243E-05,  1.393565704543427E-02,  9.625352401076575E-03, -5.618666397138595E-07,
2464537.500000000, A.D. 2035-Jul-29 00:00:00.0000,  5.862149735034853E-01, -8.291516596334138E-01,  6.681299030619863E-05,  1.377330075105042E-02,  9.862134525277001E-03, -7.240082168917632E-07,
2464538.500000000, A.D. 2035-Jul-30 00:00:00.0000,  5.999053371797981E-01, -8.191721258676989E-01,  6.600094100431886E-05,  1.360671776675071E-02,  1.009652374229183E-02, -9.020086174840514E-07,
2464539.500000000, A.D. 2035-Jul-31 00:00:00.0000,  6.134269840307459E-01, -8.089594550973710E-01,  6.500683770583164E-05,  1.343586044652719E-02,  1.032838305398221E-02, -1.086349305161024E-06,
2464540.500000000, A.D. 2035-Aug-01 00:00:00.0000,  6.267756239302222E-01, -7.985162587534734E-01,  6.382992288936538E-05,  1.326070188613543E-02,  1.055754452916145E-02, -1.265619180386962E-06,
2464541.500000000, A.D. 2035-Aug-02 00:00:00.0000,  6.399469563176348E-01, -7.878453293705528E-01,  6.248137037981257E-05,  1.308125046246950E-02,  1.078381565545599E-02, -1.427604098428350E-06,
2464542.500000000, A.D. 2035-Aug-03 00:00:00.0000,  6.529367116912216E-01, -7.769496584664214E-01,  6.098428910375479E-05,  1.289756124130302E-02,  1.100699406934580E-02, -1.560957560997980E-06,
2464543.500000000, A.D. 2035-Aug-04 00:00:00.0000,  6.657407005418486E-01, -7.658324363720137E-01,  5.937193032122934E-05,  1.270973863234105E-02,  1.122688811567737E-02, -1.657023949209020E-06,
2464544.500000000, A.D. 2035-Aug-05 00:00:00.0000,  6.783548592010890E-01, -7.544970312064484E-01,  5.768426672259299E-05,  1.251792752564113E-02,  1.144333671742207E-02, -1.711163054029099E-06,
2464545.500000000, A.D. 2035-Aug-06 00:00:00.0000,  6.907752819513399E-01, -7.429469513901388E-01,  5.596371865370246E-05,  1.232229557162134E-02,  1.165622145315451E-02, -1.723083752149695E-06,
2464546.500000000, A.D. 2035-Aug-07 00:00:00.0000,  7.029982337456430E-01, -7.311858015793580E-01,  5.425107061425011E-05,  1.212301337820901E-02,  1.186546755340885E-02, -1.696170945341969E-06,
